finding_id,severity,category,tool,title,asset,evidence,owner,status,due_date,eta,recommended_action
AUTO-001,High,Code Quality,ruff,Large lint debt detected (1171 issues),"colab_leecher/, tests/",audit/raw/ruff-statistics.txt,Platform,Open,2026-03-12,2 weeks,Create staged lint baseline and burn down top error classes (E701/E702/F541/F401).
AUTO-002,High,SAST,bandit,High-severity SAST findings present (30 high),colab_leecher/,audit/raw/bandit.json,Security,Open,2026-03-05,1 week,"Triage all High findings, prioritize B602 shell=True usage and add safe subprocess wrappers."
AUTO-003,Medium,SAST,bandit,Medium-severity SAST findings present (9 medium),colab_leecher/,audit/raw/bandit.json,Security,Open,2026-03-19,3 weeks,Address B108/B301-class findings and document justified exceptions with nosec + rationale.
AUTO-004,Critical,Dependency Security,pip-audit,Known CVEs in pinned project dependencies (14 vulns across 6 packages),requirements.txt resolved deps,audit/raw/pip-audit-pinned.json,Security,Open,2026-03-01,3 days,Patch vulnerable packages to fixed versions and rerun pip-audit in CI.
AUTO-005,Critical,Dependency Security,pip-audit,aiohttp 3.13.1 has 8 known vulnerabilities,aiohttp,audit/raw/pip-audit-pinned.json,Security,Open,2026-03-01,3-7 days,Upgrade to fixed versions: 3.13.3; advisories: CVE-2025-69223;CVE-2025-69224;CVE-2025-69225;CVE-2025-69226;CVE-2025-69227;CVE-2025-69228;CVE-2025-69229;CVE-2025-69230
AUTO-006,High,Dependency Security,pip-audit,requests 2.31.0 has 2 known vulnerabilities,requests,audit/raw/pip-audit-pinned.json,Security,Open,2026-03-05,3-7 days,Upgrade to fixed versions: 2.32.0;2.32.4; advisories: CVE-2024-35195;CVE-2024-47081
AUTO-007,High,Dependency Security,pip-audit,pillow 11.3.0 has 1 known vulnerabilities,pillow,audit/raw/pip-audit-pinned.json,Security,Open,2026-03-05,3-7 days,Upgrade to fixed versions: 12.1.1; advisories: CVE-2026-25990
AUTO-008,Critical,Dependency Security,pip-audit,pyrofork 2.2.11 has 1 known vulnerabilities,pyrofork,audit/raw/pip-audit-pinned.json,Security,Open,2026-03-01,3-7 days,Upgrade to fixed versions: 2.3.69; advisories: CVE-2025-67720
AUTO-009,High,Dependency Security,pip-audit,yt-dlp 2025.12.8 has 1 known vulnerabilities,yt-dlp,audit/raw/pip-audit-pinned.json,Security,Open,2026-03-05,3-7 days,Upgrade to fixed versions: 2026.2.21; advisories: CVE-2026-26331
AUTO-010,High,Dependency Security,pip-audit,pymongo 4.4.1 has 1 known vulnerabilities,pymongo,audit/raw/pip-audit-pinned.json,Security,Open,2026-03-05,3-7 days,Upgrade to fixed versions: 4.6.3; advisories: CVE-2024-5629
AUTO-011,Medium,Dependency Security,pip-audit,Incomplete dependency audit on current host (5 requirements missing from environment),requirements.txt,audit/raw/requirements-missing-from-env.txt,Platform,Mitigated (strict CI control active),2026-03-05,1 week,Linux CI dependency-audit job runs with --fail-on-vulns; keep it required in branch protection and monitor artifacts.
AUTO-012,High,Maintainability,radon,"Complexity hotspots detected (22 F-grade, 8 E-grade blocks)",colab_leecher/,audit/raw/radon-cc.txt,Engineering,Open,2026-03-19,3 weeks,Refactor top 10 highest-complexity functions; add complexity gate for new code.
AUTO-013,Medium,Supply Chain,cyclonedx-py,SBOM generated with unpinned components (21 warnings),requirements.txt,audit/raw/sbom-cli.txt,Platform,Open,2026-03-12,2 weeks,Adopt lockfile/pinned requirements strategy and regenerate validated SBOM in CI.
AUTO-014,Medium,Dependency Management,requirements-analysis,Requirements pinning gap (16/22 entries unpinned),requirements.txt,requirements.txt,Platform,Open,2026-03-12,2 weeks,Pin all production dependencies with hashes and establish weekly update SLA.
AUTO-015,Low,License Compliance,pip-licenses,Unknown license metadata for 1 package(s),pymegatools,audit/raw/pip-licenses-project.json,Compliance,Open,2026-03-28,4 weeks,Manually review unknown-license packages and document approval or replacement.
